W/C,W/B,A/C,Cement,Silica fume,Fly ash,Slag,Metakaolin,Filler,Superplasticizer,SAP,SAP size,SAP water uptake,Time,Shrinkage/Swelling
0.33,0.18,1.1,580,45.4,36.3,0,0,0,2,0,100,6,1,-2917.7
0.17,0.168,1.47,864,1.16,0,0,0,0,0.16,0,0,0,1,-2563.1
0.3,0.25,0,1440,20,0,0,0,0,0.8,0,200,20,1,-2404.3
0.25,0.25,0,1762,0,0,0,0,0,0,0,200,13,1,-2360.6
0.33,0.18,1.1,580,45.4,36.3,0,0,0,2,0.3,100,6,1,-2251.5
0.33,0.18,1.1,580,45.4,36.3,0,0,0,2,0.6,100,6,1,-1825.3
0.3,0.25,0,1440,20,0,0,0,0,0,0,107.5,12.5,1,-1823.6
0.28,0.25,0,1567,11.1,0,0,0,0,0,0,200,13,1,-1742.2
0.34,0.28,0,1367,20,0,0,0,0,0,0,107.5,12.5,1,-1697.7
0.23,0.23,0,670,0,0,0,0,0,0.049,0,0,0,1,-1566.9
0.253,0.16,1.35,720,19.4,38.9,0,0,0,3.47,0,0,0,1,-1543.4
0.3,0.25,0,1440,20,0,0,0,0,0.8,0,200,35,1,-1523.1
0.3,0.3,1.24,915,0,0,0,0,0,1,0,0,0,1,-1492.2
0.38,0.31,0,1300,20,0,0,0,0,0,0,107.5,12.5,1,-1430.1
0.325,0.16,1.73,560,25,50,0,0,28.6,4.46,0,0,0,1,-1313.5
0.3,0.3,3.19,545,0,0,0,0,0,5,0,0,0,1,-1229.9
0.225,0.183,1.25,863,25,0,0,0,0,4.3,0,0,0,1,-1201.2
0.23,0.227,0,670,1.49,0,0,0,0,0.05,0,0,0,1,-1177.9
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0,40,21,1,-1066.3
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,-1013.1
0.266,0.182,1.32,750,26.7,0,0,0,20,4.4,0,0,0,1,-994.2
0.35,0.35,1.74,700,0,0,0,0,0,0,0,0,0,1,-991.8
0.333,0.182,1.65,600,33.3,0,0,0,50,5.5,0,0,0,1,-882.4
0.3,0.3,0,533,0,0,0,0,0,0,0,0,0,1,-856.1
0.455,0.16,2.425,400,35,70,0,0,80,6.25,0,0,0,1,-832.1
0.28,0.25,0,1567,11.1,0,0,0,0,0,0.35,200,13,1,-819.4
0.4,0.182,1.98,500,40,0,0,0,80,6.6,0,0,0,1,-763.7
0.24,0.182,1.472,750,15.3,16.6,0,0,0,3.33,0,0,0,1,-723.9
0.19,0.171,1.47,864,10.88,0,0,0,0,2.5,0,0,0,1,-712.6
0.19,0.171,1.47,864,10.88,0,0,0,0,2.5,0,0,0,1,-696.1
0.235,0.2,1.766,770,17.53,0,0,0,0,3,0,0,0,1,-664.3
0.25,0.25,0,1544,0,0,0,0,0,0,0,200,13,1,-662.1
